127.0.0.1 - - [10/Feb/2021:19:22:53 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:22:54 +0530] "GET /project3/ HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:22:55 +0530] "GET /project3/image/index.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:23:08 +0530] "GET /project3/ HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:23:08 +0530] "GET /project3/image/customLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:23:08 +0530] "GET /project3/image/index.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:23:08 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:23:12 +0530] "GET /project3/WelcomeCtl HTTP/1.1" 200 9662
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:23:12 +0530] "GET /project3/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:23:12 +0530] "GET /project3/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:23:12 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:23:12 +0530] "GET /project3/js/bootstrap.min.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:23:12 +0530] "GET /project3/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:23:12 +0530] "GET /project3/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:23:12 +0530] "GET /project3/js/jquery-1.12.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:23:12 +0530] "GET /project3/image/back.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:23:12 +0530] "GET /project3/image/download.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:23:12 +0530] "GET /project3/js/bootstrap.min.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:23:12 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:23:16 +0530] "GET /project3/LoginCtl HTTP/1.1" 200 11561
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:23:16 +0530] "GET /project3/js/bootstrap.min.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:23:16 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
