127.0.0.1 - - [18/Mar/2021:22:44:22 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:44:23 +0530] "GET /project3/ HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:44:45 +0530] "GET /project3/ HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:44:45 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:45:34 +0530] "GET /project3/WelcomeCtl HTTP/1.1" 200 9633
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:45:34 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:45:34 +0530] "GET /project3/js/bootstrap.min.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:45:34 +0530] "GET /project3/js/bootstrap.min.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:45:34 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:45:36 +0530] "GET /project3/LoginCtl HTTP/1.1" 200 11532
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:45:37 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:45:37 +0530] "GET /project3/js/bootstrap.min.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:45:37 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:45:50 +0530] "POST /project3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:45:50 +0530] "GET /project3/WelcomeCtl HTTP/1.1" 200 16913
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:45:50 +0530] "GET /project3/js/bootstrap.min.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:45:50 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:45:50 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:46:48 +0530] "GET /project3/ctl/TimeTableListCtl HTTP/1.1" 200 23392
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:46:48 +0530] "GET /project3/js/bootstrap.min.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:46:48 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:46:48 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:46:48 +0530] "GET /ORSProject3/theam_wel/image/fav-icon.png HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:46:50 +0530] "GET /project3/ctl/SubjectListCtl HTTP/1.1" 200 24403
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:46:50 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:46:50 +0530] "GET /project3/js/bootstrap.min.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:46:50 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:46:52 +0530] "GET /project3/ctl/CourseListCtl HTTP/1.1" 200 24810
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:46:52 +0530] "GET /project3/js/bootstrap.min.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:46:52 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:46:53 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:46:54 +0530] "GET /project3/ctl/FacultyListCtl HTTP/1.1" 200 25027
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:46:54 +0530] "GET /project3/js/bootstrap.min.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:46:54 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:46:54 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
